Data;IdBuilding;IndividualAddress;GroupAddress;TelegramType;Value;ValueType;Description
2019-02-22 12:27:53.3233333;1;3.1.6;2/2/0;write      ;-33429.7;W;Produzione totale fotovoltaico
2019-02-22 12:28:56.4000000;1;3.1.201;2/0/3;write      ;35.68625;%;C1/0/M102 Umidità
2019-02-22 12:29:37.1766667;1;3.2.202;2/0/0;write      ;400.96;ppm;C1/0/M101 CO2
2019-02-22 12:30:21.9333333;1;3.3.201;2/1/8;write      ;36.86272;%;C1/0/U105 Umidità
2019-02-22 12:31:23.4800000;1;3.3.202;2/1/0;write      ;536.96;ppm;C1/0/U101 C02
2019-02-22 12:31:26.9666667;1;3.3.201;2/1/10;write      ;24;C°;C1/0/U105 Temperatura
2019-02-22 12:31:41.1866667;1;3.2.202;2/0/2;write      ;29.8039;%;C1/0/M101 Umidità
2019-02-22 12:32:18.0400000;1;3.3.201;2/1/1;write      ;813.44;ppm;C1/0/U105 C02
2019-02-22 12:32:31.5866667;1;3.1.201;2/0/5;write      ;22.42;C°;C1/0/M102 TEMP
2019-02-22 12:33:02.5433333;1;3.3.202;2/1/9;write      ;24;C°;C1/0/U101 Temperatura
2019-02-22 12:33:37.6466667;1;3.1.201;2/0/1;write      ;601.92;ppm;C1/0/M102 CO2
2019-02-22 12:33:46.2266667;1;3.2.202;2/0/4;write      ;24.04;C°;C1/0/M101 TEMP
2019-02-22 12:36:27.6833333;1;3.3.202;2/1/7;write      ;33.72547;%;C1/0/U101 Umidità
2019-02-22 12:37:52.9033333;1;3.1.6;2/2/0;write      ;-33189.9;W;Produzione totale fotovoltaico
2019-02-22 12:38:56.7333333;1;3.1.201;2/0/3;write      ;34.90194;%;C1/0/M102 Umidità
2019-02-22 12:39:37.4100000;1;3.2.202;2/0/0;write      ;414.72;ppm;C1/0/M101 CO2
2019-02-22 12:40:22.2700000;1;3.3.201;2/1/8;write      ;36.86272;%;C1/0/U105 Umidità
2019-02-22 12:41:23.6866667;1;3.3.202;2/1/0;write      ;641.92;ppm;C1/0/U101 C02
2019-02-22 12:41:27.3133333;1;3.3.201;2/1/10;write      ;24.08;C°;C1/0/U105 Temperatura
2019-02-22 12:41:41.2600000;1;3.2.202;2/0/2;write      ;29.8039;%;C1/0/M101 Umidità
2019-02-22 12:42:18.4200000;1;3.3.201;2/1/1;write      ;875.52;ppm;C1/0/U105 C02
2019-02-22 12:42:31.8900000;1;3.1.201;2/0/5;write      ;22.5;C°;C1/0/M102 TEMP
2019-02-22 12:43:02.7066667;1;3.3.202;2/1/9;write      ;24.08;C°;C1/0/U101 Temperatura
2019-02-22 12:43:37.8466667;1;3.1.201;2/0/1;write      ;670.72;ppm;C1/0/M102 CO2
2019-02-22 12:43:46.2900000;1;3.2.202;2/0/4;write      ;24.06;C°;C1/0/M101 TEMP
2019-02-22 12:46:27.8166667;1;3.3.202;2/1/7;write      ;33.72547;%;C1/0/U101 Umidità
2019-02-22 12:47:52.4733333;1;3.1.6;2/2/0;write      ;-33254.31;W;Produzione totale fotovoltaico
2019-02-22 12:48:56.9700000;1;3.1.201;2/0/3;write      ;35.68625;%;C1/0/M102 Umidità
2019-02-22 12:49:37.3533333;1;3.2.202;2/0/0;write      ;392;ppm;C1/0/M101 CO2
2019-02-22 12:50:22.3833333;1;3.3.201;2/1/8;write      ;36.86272;%;C1/0/U105 Umidità
2019-02-22 12:51:23.9300000;1;3.3.202;2/1/0;write      ;540.8;ppm;C1/0/U101 C02
2019-02-22 12:51:27.3633333;1;3.3.201;2/1/10;write      ;24.14;C°;C1/0/U105 Temperatura
2019-02-22 12:51:41.2333333;1;3.2.202;2/0/2;write      ;29.8039;%;C1/0/M101 Umidità
2019-02-22 12:52:18.3266667;1;3.3.201;2/1/1;write      ;801.92;ppm;C1/0/U105 C02
2019-02-22 12:52:32.0266667;1;3.1.201;2/0/5;write      ;22.56;C°;C1/0/M102 TEMP
2019-02-22 12:53:02.9300000;1;3.3.202;2/1/9;write      ;24.1;C°;C1/0/U101 Temperatura
2019-02-22 12:53:38.0633333;1;3.1.201;2/0/1;write      ;656;ppm;C1/0/M102 CO2
2019-02-22 12:53:46.2433333;1;3.2.202;2/0/4;write      ;24.06;C°;C1/0/M101 TEMP
2019-02-22 12:56:27.9900000;1;3.3.202;2/1/7;write      ;33.72547;%;C1/0/U101 Umidità
2019-02-22 12:57:52.0866667;1;3.1.6;2/2/0;write      ;-33377.66;W;Produzione totale fotovoltaico
2019-02-22 12:58:57.1600000;1;3.1.201;2/0/3;write      ;35.68625;%;C1/0/M102 Umidità
2019-02-22 12:59:37.3566667;1;3.2.202;2/0/0;write      ;384.96;ppm;C1/0/M101 CO2
2019-02-22 13:00:22.4033333;1;3.3.201;2/1/8;write      ;36.86272;%;C1/0/U105 Umidità
2019-02-22 13:01:24.0533333;1;3.3.202;2/1/0;write      ;466.88;ppm;C1/0/U101 C02
2019-02-22 13:01:27.4266667;1;3.3.201;2/1/10;write      ;24.18;C°;C1/0/U105 Temperatura
2019-02-22 13:01:41.2400000;1;3.2.202;2/0/2;write      ;29.8039;%;C1/0/M101 Umidità
2019-02-22 13:02:18.4800000;1;3.3.201;2/1/1;write      ;773.76;ppm;C1/0/U105 C02
2019-02-22 13:02:32.1933333;1;3.1.201;2/0/5;write      ;22.58;C°;C1/0/M102 TEMP
2019-02-22 13:03:03.0666667;1;3.3.202;2/1/9;write      ;24.16;C°;C1/0/U101 Temperatura
2019-02-22 13:03:38.2033333;1;3.1.201;2/0/1;write      ;661.76;ppm;C1/0/M102 CO2
2019-02-22 13:03:46.1966667;1;3.2.202;2/0/4;write      ;24.06;C°;C1/0/M101 TEMP
2019-02-22 13:04:12.2766667;1;3.1.201;2/0/3;write      ;36.86272;%;C1/0/M102 Umidità
2019-02-22 13:06:28.1100000;1;3.3.202;2/1/7;write      ;33.72547;%;C1/0/U101 Umidità
2019-02-22 13:06:42.2800000;1;3.1.201;2/0/3;write      ;39.99997;%;C1/0/M102 Umidità
2019-02-22 13:06:57.3200000;1;3.1.201;2/0/3;write      ;37.64703;%;C1/0/M102 Umidità
2019-02-22 13:07:27.2866667;1;3.1.201;2/0/3;write      ;39.99997;%;C1/0/M102 Umidità
2019-02-22 13:07:42.2933333;1;3.1.201;2/0/3;write      ;37.64703;%;C1/0/M102 Umidità
2019-02-22 13:07:51.6600000;1;3.1.6;2/2/0;write      ;-32714.98;W;Produzione totale fotovoltaico
2019-02-22 13:07:57.3633333;1;3.1.201;2/0/3;write      ;39.99997;%;C1/0/M102 Umidità
2019-02-22 13:08:42.4633333;1;3.1.201;2/0/3;write      ;37.64703;%;C1/0/M102 Umidità
2019-02-22 13:08:57.4633333;1;3.1.201;2/0/3;write      ;39.99997;%;C1/0/M102 Umidità
2019-02-22 13:09:27.4500000;1;3.1.201;2/0/3;write      ;37.64703;%;C1/0/M102 Umidità
2019-02-22 13:09:37.1633333;1;3.2.202;2/0/0;write      ;380.8;ppm;C1/0/M101 CO2
2019-02-22 13:10:22.7866667;1;3.3.201;2/1/8;write      ;36.86272;%;C1/0/U105 Umidità
2019-02-22 13:11:24.3500000;1;3.3.202;2/1/0;write      ;400;ppm;C1/0/U101 C02
2019-02-22 13:11:27.8266667;1;3.3.201;2/1/10;write      ;24.2;C°;C1/0/U105 Temperatura
2019-02-22 13:11:41.1600000;1;3.2.202;2/0/2;write      ;29.8039;%;C1/0/M101 Umidità
2019-02-22 13:11:57.6033333;1;3.1.201;2/0/3;write      ;35.68625;%;C1/0/M102 Umidità
2019-02-22 13:12:18.8566667;1;3.3.201;2/1/1;write      ;704.64;ppm;C1/0/U105 C02
2019-02-22 13:12:32.5500000;1;3.1.201;2/0/5;write      ;22.62;C°;C1/0/M102 TEMP
2019-02-22 13:13:03.4066667;1;3.3.202;2/1/9;write      ;24.16;C°;C1/0/U101 Temperatura
2019-02-22 13:13:38.6366667;1;3.1.201;2/0/1;write      ;576.96;ppm;C1/0/M102 CO2
